"date","topology","bias","max_generations","max_per_generation","log"
"10-03-2021-22:45:46","1","0.01","1000","10","Individuo 0 | Fitness 0.6830419869721615 | Fit Err 0.23326634761356949"
"","8","","","","Individuo 1 | Fitness 2.419595968020458 | Fit Err 2.927198128320749"
"","16","","","","Individuo 2 | Fitness 1.3593238478781928 | Fit Err 0.9238670685167093"
"","16","","","","Individuo 3 | Fitness 1.3861395956187463 | Fit Err 0.9606776279250945"
"","8","","","","Individuo 4 | Fitness 2.809233313366856 | Fit Err 3.9458678121819277"
"","1","","","","Individuo 5 | Fitness 1.6212695671215123 | Fit Err 1.3142412919915165"
"","","","","","Individuo 6 | Fitness 1.1731305942321635 | Fit Err 0.6881059643058121"
"","","","","","Individuo 7 | Fitness 1.1466370266946975 | Fit Err 0.6573767691733612"
"","","","","","Individuo 8 | Fitness 1.6672985315665203 | Fit Err 1.3899255237466217"
"","","","","","Individuo 9 | Fitness 2.6828569973911427 | Fit Err 3.598834005705335"
"","","","","","Best fitness: 0.6830419869721615"
"","","","","","Geracao: 1 de 1000"
"","","","","","Individuo 0 | Fitness 0.82550539201638 | Fit Err 0.3407213211201385"
"","","","","","Individuo 1 | Fitness 2.982187179571801 | Fit Err 4.446690365179411"
"","","","","","Individuo 2 | Fitness 1.0769752163635167 | Fit Err 0.5799270386284581"
"","","","","","Individuo 3 | Fitness 2.2373564492140483 | Fit Err 2.502859566905355"
"","","","","","Individuo 4 | Fitness 0.8991413940996381 | Fit Err 0.4042186319277794"
"","","","","","Individuo 5 | Fitness 2.012497151501088 | Fit Err 2.025052267478481"
"","","","","","Individuo 6 | Fitness 1.4159301541728648 | Fit Err 1.0024149414964545"
"","","","","","Individuo 7 | Fitness 2.125181281571729 | Fit Err 2.2581764880086124"
"","","","","","Individuo 8 | Fitness 1.360783694431711 | Fit Err 0.9258525237286639"
"","","","","","Individuo 9 | Fitness 0.8099141354195515 | Fit Err 0.3279723542848456"
"","","","","","Best fitness: 0.8099141354195515"
"","","","","","Geracao: 2 de 1000"
"","","","","","Individuo 0 | Fitness 2.447289049385572 | Fit Err 2.994587372780775"
"","","","","","Individuo 1 | Fitness 0.6987171464535835 | Fit Err 0.24409583825265474"
"","","","","","Individuo 2 | Fitness 2.117759349279569 | Fit Err 2.2424311531870194"
"","","","","","Individuo 3 | Fitness 1.7200209495019785 | Fit Err 1.4792188332033487"
"","","","","","Individuo 4 | Fitness 1.072336351936673 | Fit Err 0.5749419025289068"
"","","","","","Individuo 5 | Fitness 2.207132453945446 | Fit Err 2.435694763355084"
"","","","","","Individuo 6 | Fitness 0.7295242130427245 | Fit Err 0.26609549351567285"
"","","","","","Individuo 7 | Fitness 2.218309612094496 | Fit Err 2.4604265845092956"
"","","","","","Individuo 8 | Fitness 1.3454898480053834 | Fit Err 0.9051580106942947"
"","","","","","Individuo 9 | Fitness 1.4881881795220164 | Fit Err 1.1073371470027313"
"","","","","","Best fitness: 0.6987171464535835"
"","","","","","Geracao: 3 de 1000"
"","","","","","Individuo 0 | Fitness 2.604418949497591 | Fit Err 3.391472988111573"
"","","","","","Individuo 1 | Fitness 1.6426099791771003 | Fit Err 1.349067345796305"
"","","","","","Individuo 2 | Fitness 1.9143648912088833 | Fit Err 1.8323773247476876"
"","","","","","Individuo 3 | Fitness 0.9564860514177962 | Fit Err 0.4574232184678894"
"","","","","","Individuo 4 | Fitness 2.2295381010957254 | Fit Err 2.4853977767877553"
"","","","","","Individuo 5 | Fitness 0.8611279946607089 | Fit Err 0.37076210036424034"
"","","","","","Individuo 6 | Fitness 2.363574496935266 | Fit Err 2.793218565586429"
"","","","","","Individuo 7 | Fitness 0.8823946640254527 | Fit Err 0.3893013476536556"
"","","","","","Individuo 8 | Fitness 1.2228086637862268 | Fit Err 0.7476182860786907"
"","","","","","Individuo 9 | Fitness 2.3540121544440735 | Fit Err 2.7706630715636695"
"","","","","","Best fitness: 0.8611279946607089"
"","","","","","Geracao: 4 de 1000"
"","","","","","Individuo 0 | Fitness 0.8068931159470123 | Fit Err 0.32553018140017986"
"","","","","","Individuo 1 | Fitness 2.0594192688022166 | Fit Err 2.12058326821424"
"","","","","","Individuo 2 | Fitness 1.6667676477891364 | Fit Err 1.3890405282317875"
"","","","","","Individuo 3 | Fitness 1.3264206020886176 | Fit Err 0.8796825426665444"
